vehicle_id,title,description,url,make,model,year,mileage.value,mileage.unit,body_style,fuel_type,transmission,drivetrain,vin,condition,state_of_vehicle,price,currency,availability,exterior_color,interior_color,trim,num_of_doors,address.addr1,address.city,address.region,address.postal_code,address.country,dealer_name,dealer_phone,dealer_id,image[0].url,image[0].tag,image[1].url,image[1].tag,image[2].url,image[2].tag,image[3].url,image[3].tag,image[4].url,image[4].tag,image[5].url,image[5].tag,image[6].url,image[6].tag,image[7].url,image[7].tag,image[8].url,image[8].tag,image[9].url,image[9].tag,_local_photo_count
P51950,2014 TESLA MODEL S P85 SEDAN 4D,"🚗 2014 TESLA MODEL S P85 SEDAN 4D
💰 Price: $14900
📏 Mileage: 112,591 miles
⚙️ AC ELECTRIC MOTOR · AUTOMATIC · RWD
🎨 Color: SILVER

✅ Clean title · Professional inspection · Financing available (W.A.C.)
🇧🇷 Atendimento em Português · Español disponible

📍 Next Gear Remarketing
5130 Old Winter Garden Rd, Orlando FL 32811
📞 (407) 434-1330 · (321) 662-7194
💬 DM for fast response",https://www.facebook.com/NextGearRemarketing/posts?q=P51950,TESLA,MODEL S P85,2014,112591,MI,sedan,electric,automatic,rear_wheel_drive,5YJSA1H1XEFP51950,used,used,1490000,USD,available,SILVER,BLACK,SEDAN 4D,4,5130 Old Winter Garden Rd,Orlando,FL,32811,US,Next Gear Remarketing,4074341330,nextgear-orlando,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/P51950_00.jpg,main,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/P51950_01.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/P51950_02.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/P51950_03.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/P51950_04.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/P51950_05.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/P51950_06.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/P51950_07.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/P51950_08.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/P51950_09.jpg,exterior,10
151970,2020 HYUNDAI SANTA FE SE SPORT UTILITY 4D,"🚗 2020 HYUNDAI SANTA FE SE SPORT UTILITY 4D
💰 Price: $14900
📏 Mileage: 114,496 miles
⚙️ 4-CYL 2.4 LITER · AUTOMATIC · FWD
🎨 Color: GRAY

✅ Clean title · Professional inspection · Financing available (W.A.C.)
🇧🇷 Atendimento em Português · Español disponible

📍 Next Gear Remarketing
5130 Old Winter Garden Rd, Orlando FL 32811
📞 (407) 434-1330 · (321) 662-7194
💬 DM for fast response",https://www.facebook.com/NextGearRemarketing/posts?q=151970,HYUNDAI,SANTA FE SE,2020,114496,MI,suv,gasoline,automatic,front_wheel_drive,5NMS23AD6LH151970,used,used,1490000,USD,available,GRAY,GRAY,SPORT UTILITY 4D,4,5130 Old Winter Garden Rd,Orlando,FL,32811,US,Next Gear Remarketing,4074341330,nextgear-orlando,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/151970_00.jpg,main,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/151970_01.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/151970_02.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/151970_03.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/151970_04.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/151970_05.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/151970_06.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/151970_07.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/151970_08.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/151970_09.jpg,exterior,10
609136,2017 CHRYSLER PACIFICA TOURING MINIVAN 4D,"🚗 2017 CHRYSLER PACIFICA TOURING MINIVAN 4D
💰 Price: $0
📏 Mileage: 131,202 miles
⚙️ V6 3.6 LITER · AUTOMATIC · FWD

✅ Clean title · Professional inspection · Financing available (W.A.C.)
🇧🇷 Atendimento em Português · Español disponible

📍 Next Gear Remarketing
5130 Old Winter Garden Rd, Orlando FL 32811
📞 (407) 434-1330 · (321) 662-7194
💬 DM for fast response",https://www.facebook.com/NextGearRemarketing/posts?q=609136,CHRYSLER,PACIFICA TOURING,2017,131202,MI,minivan,gasoline,automatic,front_wheel_drive,2C4RC1DG4HR609136,used,used,0,USD,available,,,MINIVAN 4D,4,5130 Old Winter Garden Rd,Orlando,FL,32811,US,Next Gear Remarketing,4074341330,nextgear-orlando,,,,,,,,,,,,,,,,,,,,,0
281760,2016 RAM 2500 CREW CAB TRADESMAN PICKUP 4D 6 1/3 FT,"🚗 2016 RAM 2500 CREW CAB TRADESMAN PICKUP 4D 6 1/3 FT
💰 Price: $14900
📏 Mileage: 177,661 miles
⚙️ V8 HEMI 6.4 LITER · AUTOMATIC · 4WD
🎨 Color: WHITE

✅ Clean title · Professional inspection · Financing available (W.A.C.)
🇧🇷 Atendimento em Português · Español disponible

📍 Next Gear Remarketing
5130 Old Winter Garden Rd, Orlando FL 32811
📞 (407) 434-1330 · (321) 662-7194
💬 DM for fast response",https://www.facebook.com/NextGearRemarketing/posts?q=281760,RAM,2500 CREW CAB TRADESMAN,2016,177661,MI,pickup,gasoline,automatic,four_wheel_drive,3C6UR5CJ4GG281760,used,used,1490000,USD,available,WHITE,GRAY,PICKUP 4D 6 1/3 FT,4,5130 Old Winter Garden Rd,Orlando,FL,32811,US,Next Gear Remarketing,4074341330,nextgear-orlando,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/281760_00.jpg,main,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/281760_01.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/281760_02.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/281760_03.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/281760_04.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/281760_05.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/281760_06.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/281760_07.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/281760_08.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/281760_09.jpg,exterior,10
058619,2021 KIA K5 GT-LINE SEDAN 4D,"🚗 2021 KIA K5 GT-LINE SEDAN 4D
💰 Price: $12900
📏 Mileage: 148,868 miles
⚙️ 4-CYL TURBO 1.6 LITER · AUTOMATIC · FWD
🎨 Color: WHITE

✅ Clean title · Professional inspection · Financing available (W.A.C.)
🇧🇷 Atendimento em Português · Español disponible

📍 Next Gear Remarketing
5130 Old Winter Garden Rd, Orlando FL 32811
📞 (407) 434-1330 · (321) 662-7194
💬 DM for fast response",https://www.facebook.com/NextGearRemarketing/posts?q=058619,KIA,K5 GT-LINE,2021,148868,MI,sedan,gasoline,automatic,front_wheel_drive,5XXG64J22MG058619,used,used,1290000,USD,available,WHITE,BLACK,SEDAN 4D,4,5130 Old Winter Garden Rd,Orlando,FL,32811,US,Next Gear Remarketing,4074341330,nextgear-orlando,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/058619_00.jpg,main,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/058619_01.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/058619_02.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/058619_03.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/058619_04.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/058619_05.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/058619_06.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/058619_07.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/058619_08.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/058619_09.jpg,exterior,10
585399,2015 KIA SORENTO EX SPORT UTILITY 4D,"🚗 2015 KIA SORENTO EX SPORT UTILITY 4D
💰 Price: $7900
📏 Mileage: 150,398 miles
⚙️ V6 GDI 3.3 LITER · AUTOMATIC · FWD

✅ Clean title · Professional inspection · Financing available (W.A.C.)
🇧🇷 Atendimento em Português · Español disponible

📍 Next Gear Remarketing
5130 Old Winter Garden Rd, Orlando FL 32811
📞 (407) 434-1330 · (321) 662-7194
💬 DM for fast response",https://www.facebook.com/NextGearRemarketing/posts?q=585399,KIA,SORENTO EX,2015,150398,MI,suv,gasoline,automatic,front_wheel_drive,5XYKU4A75FG585399,used,used,790000,USD,available,,,SPORT UTILITY 4D,4,5130 Old Winter Garden Rd,Orlando,FL,32811,US,Next Gear Remarketing,4074341330,nextgear-orlando,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/585399_00.jpg,main,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/585399_01.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/585399_02.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/585399_03.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/585399_04.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/585399_05.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/585399_06.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/585399_07.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/585399_08.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/585399_09.jpg,exterior,10
580698,2017 RAM 2500 CREW CAB SLT PICKUP 4D 6 1/3 FT,"🚗 2017 RAM 2500 CREW CAB SLT PICKUP 4D 6 1/3 FT
💰 Price: $18900
📏 Mileage: 143,800 miles
⚙️ V8 HEMI 5.7 LITER · AUTOMATIC · 4WD
🎨 Color: GREEN

✅ Clean title · Professional inspection · Financing available (W.A.C.)
🇧🇷 Atendimento em Português · Español disponible

📍 Next Gear Remarketing
5130 Old Winter Garden Rd, Orlando FL 32811
📞 (407) 434-1330 · (321) 662-7194
💬 DM for fast response",https://www.facebook.com/NextGearRemarketing/posts?q=580698,RAM,2500 CREW CAB SLT,2017,143800,MI,pickup,gasoline,automatic,four_wheel_drive,3C6TR5DT1HG580698,used,used,1890000,USD,available,GREEN,GRAY,PICKUP 4D 6 1/3 FT,4,5130 Old Winter Garden Rd,Orlando,FL,32811,US,Next Gear Remarketing,4074341330,nextgear-orlando,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/580698_00.png,main,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/580698_01.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/580698_02.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/580698_03.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/580698_04.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/580698_05.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/580698_06.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/580698_07.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/580698_08.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/580698_09.jpg,exterior,10
357717,2016 JEEP CHEROKEE 75TH ANNIVERSARY SPORT UTILITY 4D,"🚗 2016 JEEP CHEROKEE 75TH ANNIVERSARY SPORT UTILITY 4D
💰 Price: $8900
📏 Mileage: 108,674 miles
⚙️ 4-CYL 2.4 LITER · AUTOMATIC · 4WD
🎨 Color: GRAY

✅ Clean title · Professional inspection · Financing available (W.A.C.)
🇧🇷 Atendimento em Português · Español disponible

📍 Next Gear Remarketing
5130 Old Winter Garden Rd, Orlando FL 32811
📞 (407) 434-1330 · (321) 662-7194
💬 DM for fast response",https://www.facebook.com/NextGearRemarketing/posts?q=357717,JEEP,CHEROKEE 75TH ANNIVERSARY,2016,108674,MI,suv,gasoline,automatic,four_wheel_drive,1C4PJMCB9GW357717,used,used,890000,USD,available,GRAY,BLACK,SPORT UTILITY 4D,4,5130 Old Winter Garden Rd,Orlando,FL,32811,US,Next Gear Remarketing,4074341330,nextgear-orlando,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/357717_00.jpg,main,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/357717_01.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/357717_02.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/357717_03.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/357717_04.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/357717_05.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/357717_06.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/357717_07.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/357717_08.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/357717_09.jpg,exterior,10
002408,2013 VOLKSWAGEN TOUAREG VR6 SPORT SUV 4D,"🚗 2013 VOLKSWAGEN TOUAREG VR6 SPORT SUV 4D
💰 Price: $7900
📏 Mileage: 127,351 miles
⚙️ V6 3.6 LITER · AUTOMATIC · AWD
🎨 Color: SILVER

✅ Clean title · Professional inspection · Financing available (W.A.C.)
🇧🇷 Atendimento em Português · Español disponible

📍 Next Gear Remarketing
5130 Old Winter Garden Rd, Orlando FL 32811
📞 (407) 434-1330 · (321) 662-7194
💬 DM for fast response",https://www.facebook.com/NextGearRemarketing/posts?q=002408,VOLKSWAGEN,TOUAREG VR6,2013,127351,MI,suv,gasoline,automatic,all_wheel_drive,WVGEF9BP0DD002408,used,used,790000,USD,available,SILVER,BLACK,SPORT SUV 4D,4,5130 Old Winter Garden Rd,Orlando,FL,32811,US,Next Gear Remarketing,4074341330,nextgear-orlando,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/002408_00.jpg,main,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/002408_01.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/002408_02.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/002408_03.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/002408_04.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/002408_05.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/002408_06.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/002408_07.png,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/002408_08.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/002408_09.jpg,exterior,10
X04236,2017 BMW X5 SDRIVE35I SPORT UTILITY 4D,"🚗 2017 BMW X5 SDRIVE35I SPORT UTILITY 4D
💰 Price: $18900
📏 Mileage: 68,796 miles
⚙️ 6-CYL TURBO 3.0 LITER · AUTOMATIC · RWD
🎨 Color: GRAY

✅ Clean title · Professional inspection · Financing available (W.A.C.)
🇧🇷 Atendimento em Português · Español disponible

📍 Next Gear Remarketing
5130 Old Winter Garden Rd, Orlando FL 32811
📞 (407) 434-1330 · (321) 662-7194
💬 DM for fast response",https://www.facebook.com/NextGearRemarketing/posts?q=X04236,BMW,X5 SDRIVE35I,2017,68796,MI,suv,gasoline,automatic,rear_wheel_drive,5UXKR2C35H0X04236,used,used,1890000,USD,available,GRAY,BLACK,SPORT UTILITY 4D,4,5130 Old Winter Garden Rd,Orlando,FL,32811,US,Next Gear Remarketing,4074341330,nextgear-orlando,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/X04236_00.jpg,main,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/X04236_01.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/X04236_02.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/X04236_03.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/X04236_04.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/X04236_05.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/X04236_06.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/X04236_07.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/X04236_08.jpg,exterior,https://raw.githubusercontent.com/Oliveiramv/nextgear-catalog/main/images/X04236_09.jpg,exterior,10
